UV index;sun days;sun hours;Rh;MXT;MNT;prectot;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;Rasio;Tingkat_mutasi
8;16;228.5;59.32;27.19;13.35;3.11;6;11;184;72.66;24.3;13.64;3.85;5;15;236;73.83;21.43;11.89;3.25;3;8;181;81.22;17.24;8.84;5.77;3;12;172.5;84.94;13.87;6.71;1.54;4;12;194.5;86.95;12.75;5.6;1.22;0.00053;2
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.000265;1
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.000265;1
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.000265;1
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.00053;2
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.000265;1
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.00053;2
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.000265;1
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.00053;2
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.000265;1
5;27;266;93.34;-1.16;-6.84;1.46;7;26;261.5;93.37;-1.35;-8.02;1.53;8;29;305.5;84.79;4.94;-2.22;1.84;8;26;294;78.54;6.95;-1.45;1.49;9;24;299.5;80.75;14.28;5.49;6.05;9;27;294;82.62;21.21;12.26;5.22;0.000265;1
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.000265;1
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.000265;1
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.000265;1
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.000265;1
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.00053;2
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.000265;1
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.000265;1
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0;0
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.000265;1
1;4;38;93.34;-1.16;-6.84;1.46;1;8;74.5;93.37;-1.35;-8.02;1.53;1;13;111.5;84.79;4.94;-2.22;1.84;2;7;132;78.54;6.95;-1.45;1.49;3;5;117.5;80.75;14.28;5.49;6.05;5;4;192.5;82.62;21.21;12.26;5.22;0.000265;1
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.000265;1
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.000265;1
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.000795;2
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.00053;2
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.00053;2
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.00053;2
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.000265;1
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.000265;1
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.00053;2
7;1;206;83.42;28.52;22.07;6.71;5;3;155.5;86.19;27.77;21.91;11.95;6;4;229;84.29;26.89;20.21;5.1;7;12;213.5;81.99;25.79;18.88;0.93;7;16;259;80.28;24.69;16.72;2.81;6;17;260.5;78.21;26.18;17.5;0.51;0.000265;1
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000265;1
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000265;1
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0;0
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000265;2
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000265;2
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000265;2
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000265;2
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000265;2
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000265;2
5;22;269.5;60.07;20.38;6.45;1.06;5;26;275;48.9;24.84;8.45;0.66;7;18;271;52.91;28.76;14.14;2.25;9;18;276;37.01;36.1;20.6;0.56;7;18;284.5;29.67;40.96;25.74;1.75;10;16;271.5;40.33;40.61;29.06;1.48;0.000795;2
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0;0
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.000265;1
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.000265;1
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.000265;1
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.00053;2
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.00053;2
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.000265;1
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.00053;2
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.000795;2
2;14;177;79.39;10.07;1.41;4.01;3;12;209.5;73.68;11.33;1.37;1.19;3;12;193;76.81;13.83;3.43;4.35;6;9;181.5;74.1;16.62;5.82;6.43;5;15;200.5;78.2;23.43;13.85;4;5;8;188;81.3;26.97;18.77;7.18;0.000265;1
